"player","mapsPlayed","impact","rating"
"LESMARK",1,-0.000626831395571716,NA
"saveeey",1,-0.000630688592752786,NA
"DubsteP",2,-0.000631461862462061,NA
"genghsta",1,-0.000632183478724782,NA
"KARNAGE",1,-0.000632526918820512,NA
"Tham",2,-0.000634647613253596,NA
"whocares",1,-0.000636092819354889,NA
"wizzem",1,-0.000637700954649472,NA
"Gringo",2,-0.000637976838015875,NA
"JohnOlsen",2,-0.000640108432551968,NA
"j1NZO",2,-0.000641548681435695,NA
"KriLLe",8,-0.000641743207914185,NA
"StyroN",2,-0.000642131536843212,NA
"Knp",1,-0.000645019522472512,NA
"JACKPOT",2,-0.000645235723359925,NA
"TOBIZ",2,-0.000652036886058128,NA
"fostar",7,-0.000657053375278465,NA
"Maki",2,-0.000657081560150253,NA
"makkeP",2,-0.000658014846098125,NA
"drg",1,-0.000659887436457776,NA
"Krutoi",2,-0.000660233089766137,NA
"ImP",2,-0.000662181433299135,NA
"jarod",1,-0.000663684008784533,NA
"buffdaddy",1,-0.000664286197749706,NA
"tr3vl",3,-0.000664610394118487,NA
"Luken",11,-0.000664892152169262,NA
"Remind",1,-0.00066761082472003,NA
"nky",1,-0.000668095394928379,NA
"rtA",3,-0.000668787691233849,NA
"Tauson",2,-0.000668884386439864,NA
"Synyx",2,-0.000675051671832834,NA
"OKOLICIOUZ",15,-0.000679953782004969,NA
"sdy",469,-0.000680274358146786,1.02
"Douglas",2,-0.000681777341707238,NA
"Roflko",2,-0.000681807160435202,NA
"kevzy",5,-0.000682392411154239,NA
"uN1",1,-0.000683110260723788,NA
"SandmaN",3,-0.000684626284109907,NA
"mizzy",1,-0.000685798524469216,NA
"jAMMiN",2,-0.000687510655167939,NA
"SolEk",2,-0.000688528436110951,NA
"kamil",14,-0.000688643039782454,NA
"benq1",3,-0.000692334956676478,NA
"sXe",3,-0.000693134850926372,NA
"t4styy",1,-0.000694032707140817,NA
"luko",3,-0.000694664301989343,NA
"amster",2,-0.000699550915772879,NA
"Blytz",1,-0.000699944452434668,NA
"flexeeee",1,-0.00070126580119667,NA
"Kano",2,-0.000702950523845232,NA
"k1Ng0r",2,-0.000703114237067642,NA
"Strings",4,-0.000703540361391828,NA
"JAEGARN",2,-0.000703936238730931,NA
"Astroo",4,-0.000703995811239026,NA
"cello",2,-0.000704980409100011,NA
"adamS",3,-0.0007073030887583,NA
"KarlClt",2,-0.000711964300051966,NA
"knarf",2,-0.000712299364635359,NA
"ZENCER",1,-0.000712406912182534,NA
