"player","mapsPlayed","impact","rating"
"Kaka",2,-0.000493929308183095,NA
"LinCor",1,-0.000494955288829854,NA
"mole",4,-0.000496798441642908,NA
"allee",1,-0.00049715452484723,NA
"tr3vl",3,-0.0004976875869935,NA
"jarod",1,-0.000498483965003167,NA
"KARNAGE",1,-0.000498585383738536,NA
"Smyli",6,-0.000500155257401497,NA
"spOxzer",2,-0.000502116224566683,NA
"PR1mE",2,-0.00050409508112365,NA
"zonic",12,-0.000505696384710529,0.87
"nsww",2,-0.000507469751815046,NA
"NEOFRAG",99,-0.000507668598657727,1.1
"alter",4,-0.000507683892390121,NA
"Fable",1,-0.00050858173119464,NA
"HudzM",1,-0.000510264101115379,NA
"bLazE",1,-0.000510298604117471,NA
"4sh0t",2,-0.000511605863075147,NA
"Lakia",5,-0.000512727525358198,NA
"byr9",2,-0.000513048127313497,NA
"hussaR",3,-0.000513486554463508,NA
"bedonka",1,-0.000514465013659232,NA
"huNter-",690,-0.000524973923495685,1.12
"oSee",227,-0.000528677944374217,1.05
"4314",2,-0.000529296456627843,NA
"qk-Mantis",2,-0.00053118378884642,NA
"alexG",1,-0.000531418857592371,NA
"Sheva",1,-0.000531668456648722,NA
"jeske",2,-0.000533062164557416,NA
"flawless",3,-0.000533582885134389,NA
"oddo",2,-0.00053525974312985,NA
"JoJo",2,-0.000536571735977849,NA
"laTal",1,-0.000537379056269226,NA
"BrN",2,-0.000538055611650509,NA
"DannyG",2,-0.000540275888620292,NA
"B1GGY",1,-0.000540524953285786,NA
"genghsta",1,-0.00054053479014314,NA
"Cunha",2,-0.000541155412007823,NA
"TEKSI",2,-0.000543190172934686,NA
"Sharkie",2,-0.000543532135350518,NA
"roma",4,-0.000544148373108448,NA
"mizzy",1,-0.000545369584838316,NA
"lowrider",2,-0.00054748732940927,NA
"Kryptix",2,-0.000548154652884283,NA
"TiGER",1,-0.000550031162841098,NA
"Sheekey",2,-0.000550155537870362,NA
"kajsk1ng",5,-0.000550739690291858,NA
"voidex",5,-0.000551567347859544,NA
"Necrogenes1s",2,-0.000551898843462795,NA
"bramz",2,-0.000552203362218281,NA
"zypztw",2,-0.00055335369214118,NA
"RETO",2,-0.000554319870772352,NA
"Gux",1,-0.000554866927952657,NA
"INX",1,-0.00055502740941553,NA
"VIPPEER",1,-0.000558144737523468,NA
"jakem",2,-0.000559439029716686,NA
"cello",2,-0.000559756716860431,NA
"7oX1C",4,-0.000559924201176525,NA
"THRONE",8,-0.000564711661833607,NA
"ozzy",3,-0.000565597184738075,NA
"Liki",1,-0.000566949050072979,NA
"Gratisfaction",325,-0.000568195437674276,1
"lsnow",3,-0.000568198182080484,NA
"Akino",2,-0.000570642716090945,NA
"SeokE",5,-0.000571332537701841,NA
"natu",6,-0.000572334290633406,NA
"kamaz1k",1,-0.000574577392448799,NA
"reiko",6,-0.000576546133975845,NA
"r1d3r",1,-0.000576876261719337,NA
"knarf",2,-0.000577559457046727,NA
"YooNgHwe1",2,-0.000579897745652061,NA
"micalis",2,-0.000581125719550276,NA
"zeph",5,-0.000581222933788781,NA
"S3NSEY",10,-0.000581843235104867,NA
"BUBBIS",2,-0.000582116988183304,NA
"vanilla",3,-0.000586289576846856,NA
"meztal",1,-0.000586541310640716,NA
"FoDa",2,-0.000587018763237663,NA
"numb",1,-0.000590188692797584,NA
"Jinx",5,-0.000592508568427506,NA
"threeman",3,-0.000593278904276777,NA
"r1nkle",4,-0.000593918230113278,NA
"fr3nd",2,-0.00059430704528762,NA
"elo",3,-0.000594937255588723,NA
"squidi",2,-0.000598472211247049,NA
"Chub",2,-0.000598819023443114,NA
"Vladimus",2,-0.000601249391992162,NA
"plyfa",2,-0.00060267440492987,NA
"dejavux",3,-0.00060404940376412,NA
"SYSTEM",2,-0.000607956778227285,NA
"knc1",4,-0.000608985107811932,NA
"Cabbi",3,-0.000609083642084486,NA
"lato",1,-0.000611937371254801,NA
"MyeHvz",2,-0.000616624875273596,NA
"SARANOSTRA",5,-0.000617309793481221,NA
"jayy",1,-0.000617680608885005,NA
"hate",1,-0.000619769524234046,NA
"whitegurlwasted",3,-0.000619818890220951,NA
"ragga",1,-0.000619899654436825,NA
"fredi",5,-0.00062214123690298,NA
"AudDzh",1,-0.00062561165628148,NA
"NikoHeiseN",1,-0.000626835313035771,NA
"Burt^",2,-0.000630410856123859,NA
"bRAiNiAC",2,-0.000631143905811468,NA
"ak-nY",2,-0.000631619761167217,NA
"Basso",12,-0.000632689864987282,NA
"Master",1,-0.000634854223861487,NA
"Inseaniac",2,-0.00063833182573581,NA
"KmZ",2,-0.000639873176361284,NA
"ye9",2,-0.000639893580452653,NA
"SpAwNns",2,-0.000640291375500539,NA
"propleh",12,-0.000640985900209335,NA
"ROBBY1",2,-0.000642865859367452,NA
"cookie",1,-0.000642913780478067,NA
"Westmelon",3,-0.000644289831290068,NA
"maNkz",49,-0.000645752327418501,1.12
"Chewie",2,-0.00065022819329482,NA
"adamS",3,-0.000650596002420741,NA
"AaroN",4,-0.00065154496764173,NA
"Kano",2,-0.000653214012410262,NA
"sAncEpt",2,-0.000653303492506777,NA
"feddan",4,-0.000656930648345877,NA
"keeyto",2,-0.000658287422882174,NA
"flex0r",1,-0.000660081477396583,NA
"lyNNN",4,-0.000661305431647908,NA
"emins",1,-0.000661656499616144,NA
"ReacTioNNN",2,-0.000662390237518065,NA
"shadow",8,-0.00066286952642725,NA
"Limpone",4,-0.000664837640368035,NA
"dead",6,-0.00066531655747604,0.78
"chuch",2,-0.000667077673833167,NA
"crank",2,-0.000667623289768794,NA
"VeXXCoN",1,-0.000667761617824959,NA
"nyte",1,-0.000672006886397887,NA
"tamir",5,-0.00067422209035851,NA
"mezii",131,-0.000674430272863974,1.06
"Kre1N",2,-0.000674706905381002,NA
"Ericip",3,-0.00067529262143473,NA
"Brite",2,-0.000676700690107347,NA
"Styff",2,-0.000677304771315167,NA
"fission",1,-0.000677914799364414,NA
"miko",3,-0.000678808967505795,NA
"Twinx",3,-0.000679371312132053,NA
"Blytz",1,-0.000682690961826585,NA
